,Expected Population,Overexpressors
0,46.73216105901478,159.67642279833007
1,28.28461032248557,141.71163779746792
2,71.64287013927756,174.37268192519275
3,8.722099629448829,80.34038496462888
4,19.43187067306239,103.73314275448897
5,17.923958789032227,58.421645358457965
6,27.77937534937002,65.79075842638207
7,12.556475262566838,65.25441070149533
8,43.803582064471335,158.00923533558304
9,43.6065988499856,172.10530177962318
10,52.29730483678172,107.20988751165075
11,33.42045533987327,136.85094976444248
12,50.4994417705405,145.3288886160387
13,52.891464164951266,133.65128996460433
14,41.62013643479319,124.7199633564748
15,31.306334228501296,105.80146626793139
16,46.46098467330147,137.3558951028773
17,36.830817508098335,146.26524784458127
